,,,,
item,link,price,quantity,total price
n20,https://sobotz.com/en/product/sbtz_n20_600-2/,15,2,30
malenki nano,https://sobotz.com/en/product/malenki-hv/,35,1,35
50a esc,esc 50a,23,1,23
weapon motor,https://repeat-robotics.com/collections/weapon-systems/products/ant-belt-drive-2305,22,1,22
battery,https://genstattu.com/tattu-450mah-14-8v-75c-4s1p-lipo-battery-pack-with-xt30-plug.html,15,1,15
rc remote,https://palmbeachbots.com/products/flysky-fs-i6-2-4ghz-6-channel-transmitter-with-receiver,51,1,51
weapon,https://order.mefab.lv/ecommerce/cart/411594a3-10d0-4dcf-985f-53d5c4aff188/summary,45,1,45
,,,,
,,,,
,,,total price,221
